,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId
0,3,7,133279,1.59571E+12,111679,0,FALSE,0,ss5zS6LtyMC4u5bs2sXClUfnGvKGzBuZi_ux_chm9RNVm3M
1,11,7,36764,1.60186E+12,15164,0,TRUE,0,hAIhcHHlAHgYN3HYMiPUpYIQD4NzyUBCCNfit37sEQzKoLM
2,16,5,724032,1.60343E+12,702432,0,TRUE,2,Xaf9gxaJ8t4JiVuwCXQsgiSihmoptwGqOv0PHh80zIuPrCE
3,420,2,4477,1.59658E+12,2677,1523,TRUE,0,goYft0QzATXfa36vW-DVlz8axBI7_4U4JJQFRQn2cgB0Ah6e
4,497,7,200343,1.60308E+12,178743,0,TRUE,0,oKr1mFNkwzkv4ma3EY0GAKddlnYZ4vum0kLsZgZwVgga2WyL
5,122,7,62130,1.58329E+12,40530,0,FALSE,0,xxrKPWsxbCWdGDqaYadYs8KMYdEd8t9SZrQytXiHf7Rf_To
6,86,5,38048,1.60234E+12,16448,0,TRUE,0,dp19mFmsFl-HkipzbFxci_4K0R_9tzi7VzdFoCmgkKLCfk-t
7,21,4,14434,1.57195E+12,1834,7166,FALSE,0,BMiRwwRXCtpzDKyyoSiWSEG778u2B-nq8kcjvL6ZBep4cSWx
8,111,7,109384,1.60015E+12,87784,0,FALSE,0,_cBBLE_42dx68bJVqZ5qe-USnM7F8wR67dzvaP97F-yXJj0
9,236,7,175437,1.59997E+12,153837,0,TRUE,0,pyBd3KXuDIaNmQb6kcZbTZgyY4CYEbARR-6M6mBMx2k_gmg
10,61,6,64743,1.60346E+12,43143,0,TRUE,0,KBpULFwSBIoE_CJ8n0ERiJ3P_VxmqfahDWEh2sjAen2NObWV
11,29,3,10319,1.60012E+12,4319,2281,FALSE,0,t5c4TGutEIlZN1wi9xSdhKWzLRCJeFq4Ypyxj-TUi9jGDRcc
12,21,7,169904,1.60347E+12,148304,0,TRUE,0,ujsRUkw_Y6ns3afCy5Ug9o1oBqeWVJlR8fJPIecJ8vmLFck
13,222,5,153003,1.59522E+12,131403,0,FALSE,0,3SRJKmeA_jPxsjcR3bpehVN-QuNm9C0iBIIYnGluYpt833Y
14,67,6,140347,1.59825E+12,118747,0,TRUE,3,0iSBDdButyD64AcDOD145fXdvK6MHddNnTIk0PHDLMnoNSU
15,22,5,47531,1.60279E+12,25931,0,TRUE,1,1G24IKGI859pV2rndLfPlJLlpSkrVVTowbsWOJ2ISyvMrByr
