,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
0,7a1d207e-b7d0-4ee9-92a7-ba5dbf7a722a,RANKED_SOLO_5x5,DIAMOND,II,8C1bQSIeNTWFlWUc-hWQnz4H3zmE1eK8k_6wzZvx9o4rNxPq,188,33,170,120,False,False,False,True,
1,8b73e0ce-2057-48a7-bb66-2f9d0ffae4d2,RANKED_SOLO_5x5,DIAMOND,II,oTEFmtsjEH2OTUdqLikBaXTlqzXjgm0jwLQ5DW6W4yYRwM2U,taylorclone,20,38,24,False,False,False,False,
2,aeed2b73-f9d6-40a1-96e4-1a572c9dc67b,RANKED_SOLO_5x5,DIAMOND,II,SuPO9qM4N1kc7UZxw2Ohuap6zxFIF2dPlD0jOHxwusTgclYr,SmhincentXd,36,197,179,False,False,False,True,
3,68ffa336-7735-4d29-a26b-bcd75f4bccec,RANKED_SOLO_5x5,DIAMOND,II,pOZAE3HJfY95yqemId7NZhVwAw0FX3d7nUmq-aYRJAsOPvDs,Chimichanga Kid,92,356,337,False,False,False,False,
4,7ee55890-6582-4de5-966b-18f9bf89eb7f,RANKED_SOLO_5x5,DIAMOND,II,PKAyXs31xaCpw32oG7CTzcqLbG75bLB8UY505aI2DiMb0XYK,LPL 006 forever,31,156,76,False,False,False,True,
5,aeed2b73-f9d6-40a1-96e4-1a572c9dc67b,RANKED_SOLO_5x5,DIAMOND,II,yNfaZZZxLqSKMZ5fcW6dXLgZReSukrpoEcJ6lJkVYLlB2Uxr,AmeIiorate,88,50,32,False,False,False,False,
6,bad131ab-a717-4ae3-8c57-76c72aeddf6d,RANKED_SOLO_5x5,DIAMOND,II,nZzDU0hKyDDArjkHLrEkkGdBjfy-cgQ74NGa1k7Tw581k4KI,ppipicat,75,64,63,False,False,False,False,
7,39b97115-0a18-4e69-a34e-fc3eaad237cf,RANKED_SOLO_5x5,DIAMOND,II,5e0G8cT4eMAxK5tOWv7PH8_5poFaLfTyy3heQDwjgXj0xzQ_,Daniel Imaicela,22,294,265,False,False,False,False,
8,8e05607d-2c5d-4455-a9c1-b09813aecbe1,RANKED_SOLO_5x5,DIAMOND,II,9bq9IEZugLo6W6M_nnHRJKsDO3_imNlSHPXeF4aSAQcRfHov,Mute9,75,84,74,False,False,False,True,
9,fc42327c-4e9d-4e4e-b725-a9d6207c85ce,RANKED_SOLO_5x5,DIAMOND,II,UTu3rQMA6Ffn70cqodvvVehbEPiud-_JXocYq5EwTQBXV3TY,G4M1NG B34STM0D3,26,98,67,False,False,False,False,
10,35835140-3da5-4102-8ed8-16abf4ff1848,RANKED_SOLO_5x5,DIAMOND,II,cxLVS1wEbMGoEcS1LZjoofxAszSLYxbjGfXNRskh_1OauvCC,i bench my team,25,223,182,False,False,False,False,
11,9412b57a-ece6-4620-b112-61eedbe683e2,RANKED_SOLO_5x5,DIAMOND,II,ftO7WGPiqPFs9HWkpxpn_8jOTO1JT7jDudVjEIE-oIqVwznB,Han Bao Bao,0,405,361,False,False,False,False,
12,7cf1753d-9ac8-4cf6-962b-bbf096a93263,RANKED_SOLO_5x5,DIAMOND,II,4SV-W3OZT-jdUEXbejS2Gnaux2UzjtYxpF2dUCyeqrgISPby,G0UGE EM VALOR,21,80,61,False,False,False,False,
