leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,fY1MD4BPvrNC-uLYLc-kDSfcQj3t-TfhpMrDJRcZqPTNAuE,ignar fan,486,681,655,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,uz3NvzrG0MaUitEM2ik4b339PEYw6bv7-Bx9YzvqcmTRTjQ,Geiger,485,983,971,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,JrhvC-5pIlJHO3fssqEkFNhi1_AQe7v2NQyWoclozQlpw_Yb,FLY Triple,484,371,307,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,3i9vileNyF0k3zv9MfA8cZyoUvHOp5XrHVQHEeqVPrqNF-d1,Karasmai100,484,204,181,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,DTESpRAgVukcMyRQLm2JsJGIM4f0_iA-DccVi4-2UswPMKk,Diamond Emperor,483,684,639,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,D3eFIl2ZyKq3lSiPy6MaW16uUVp1KBvLTRr_KtfTI6bzTM8,uso,483,154,110,True,False,False,True
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,cnyDr-lHk1B0VMT6Jxb2dR-h5GVmsPoJcOcO6VmK2yH53u4,Skunksmen,480,197,162,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,rNuCrHRqNXoK0alj4pOKRzHFTELRz1XoqSlolLQ3U2HEB9O7,DarbBarf,479,550,512,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,kdqmqRWdaAiGjCsWqEdw3zUgEETW0mIudMUViZKn8wshgfI,badeed,478,188,146,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,A52HOSoN-RHJKrTQZgmN5qQdmoPGdoTYZsQRMajjoQB6rzk,Topopotamus,476,609,588,True,False,False,True
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,E33FlYwP2PQv3uUXdusOq_Hmh2XPa_bjBOpaaelbyeQ8xP0,Rahman Noodles,476,363,321,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,nd_6Kp8gRLaVT-tO63I0yY9ZuC9x4zEg7dISguiwTnFMpO0,Apple Pie 78,475,419,388,True,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,BGnMk1VU4KzPuW_xCDI2FL_cx38YKYaTs9kb8wALxZ8ySL9X,Top Chovy,474,106,67,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,p1gVAfmGjN2-7dD2Zuz76Pz2IEWX1oE2m0CtCTuzIFpUi5P8,Flareon,473,274,188,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,ZYhrhaZjOVjbX2GsaDHCqcs0CaGA5d5UUyTTuuorVL5e2zs,Master Yoshii,471,231,205,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,sXdd-aTxgPoqUplxKJ7vLV-oBD5Ff6GCIJml7bvd6IV6dVM,KaNKl,470,304,263,False,False,True,True
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,G4l4YoErrIR4MGHLl0n5YS4DUlp0L5U4QezcDDSesQAxgYI,sha diao,469,255,212,True,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,QaM_Rj2MoQ9o9J3ASrBDJrGN_STXVC3QWL7bYYkVu-yBQYk,Rén ˇoˇ,467,531,517,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,V7d4N9b73mlGo4Uk7ABs7Snq594IpkywF1QzDuPWifbomHk,shiny wyd,466,673,571,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,Bww2VedsygJPZ9qHrnXDpErbeKsP9MCKm_38zfjiHIQv,1tyler,466,410,373,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,Kg8si56W5zOt6DZl4tFxBFe60VEr6tNwKAwQdtGEkPxQ_Lc,Vialixct,466,316,265,False,False,True,True
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,xapfLV4xECWbqPhWCPicfiYlNj25ksBDsJmw3StLB6mbk_8,Markaloff,465,238,207,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,UrgEkyiS8JKJb1C4qhVRkhJ-JFOSoHrTF6D4T8ajvW6KY9U,Tactical,463,200,132,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,RQnIR9cnV1fzp-0HJ983uzgDxZc8paeuEnt6JBA3TWW2AMU,ChuChuZ,461,755,720,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,wsElP9uVSPd_BY8DOFblBvxng29X6D56B6jsInf1wjP8UWLy,HlDE,456,326,301,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,RuU-bTn8A2pjxt_P94A5y50Tn_Ng1UX0dHsulRBiNJ6UEe7j,Wave Control,454,445,432,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,H3fcIZkq0i5K5jYSfN2cvlgu6noFipoMJ13wXb5iEu3Rbf8,Deañ,454,213,180,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,fZr9tHihDKauwe-zKFUYun0BluIB7GBj1F5GR_VchE2Xazk,Eclipse,453,700,658,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,PAqaPZkqxWh_nhjurHj6EzRInqbodj7lPV1LX0bOKaXJFfk,Cookie Sonic,452,424,400,True,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,acePaltN8Odb3ZEIu9u79cXA1sJfDbFl54uhLipphDIgFk7H,Gryffinn,448,925,899,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,D4VfIhqnthG-BpqeM8AMPRyWRGjSGdOkK3m9MiizRG_xSVw,Yeomseoks1,448,210,182,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,VHKAZcWPJtkkNz6DriDc6zVdYF4gdwjIIVaLo5Svk68PjVA,JordanTheBoss,447,631,608,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,RG73bvY7QCUkXuz32UQoEWFpE7zeJz7n1ZBNyKwn07hkTpo,Cavelery,446,334,315,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,bKHMHVgeSo2QWAHm-ynJhmHDG4EI6pfR_jPB6jGz_sqW9Sk,petitpois facher,446,295,266,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,zRt4J-zC4TldV6poJeFIlMJn5Z4T6sf5ciDvg10rcc4bU62I,TES JackeyLove 8,444,167,83,False,False,False,True
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,eFUiP47EYOGLgm_UM7TSv_0fvaBgggsvDJYUpE_Ueb0adDM,All Pressure,441,614,518,True,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,gDjy_CFpwsllZ2FEYB7V9poEtRUzwwnC-PGR4RkHXihB4Io,Kandori,441,276,232,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,pHNzdgfkx3nbenX1HKrgJATaYfUyOnlVW_j4NGhMgMvfnJM,Lunacia,439,291,258,False,False,False,True
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,M4tzFdghR8KRVhg4kmIAzIkh5mecP18bmEklxfRpk7OXWC8,Backburner,439,182,155,True,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,Cno6pK0AyENYthMBtUf_y9wody5qMT9fn-ppY6XewKFbbFM,Pockus,438,711,677,True,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,vG1AnWT7wlSN9eKP5Ps72NtTb4p8NQ7nB4aEr9J_gNyk46o,Taco,437,182,152,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,XZh26rxfJt4rvkVDS30C6UUH65lb8oWKU_5gjUYhiO6RBl4,SweatyToast,436,317,288,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,Gz74RgP5-Qbvu5gEyclx9qnuLXcFQSGbH0Q_pRPWaUEOHvA,GhostlyCat,436,297,266,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,ZkNpAJ8u067EQeyJ8GXUVJZxzELXOaKPyn1ERvUnsvz9y8c,GuangGuang Top,435,189,152,False,False,False,True
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,bPR03eputo6-6enLCPaUmKIHMJeYLJhK01JPMMvqUJxDX8WB,tomio diff,433,86,50,False,False,False,True
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,AUpTmPNJXB_bBJEGesLArN8sbW4IOSvdxBQ0H_sGeBK5opM,Augustine,431,371,251,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,aYXBn9rM0gxmONjIUKhhX2pw_sPla6RaDxIrsWsTdOjS8gY,ZOOM 369 NUGURI ,429,313,294,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,DuxvO4aMmdG9h--0fidjWqVhqw7t70x5MS81ZUaq8q-Qg2UT,Cozy Shroud,429,288,217,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,zexC5UbyumEJnlFyxt0BhfvPdt7ozL75wa9bt8Wt1kqgv_ee,Wekin Poof,429,274,175,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,Bf7MvIJWpapix0cvc4_S9tcrGXofa5oqRfHT8qm_T5wXUoc2,WX xdd2670754134,427,111,68,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,h6Ru12yaSVDkakO2P5UlXgEfRggqyDfh4ylHS6P4gFZ7cpdi,bigbrain23,427,76,43,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,Rtr6C9IFB_l77pCS4A1VZiTdV-umWHEP0cBLUJed4DD6l5I,Manco,426,230,208,False,False,False,True
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,W6rHwzeGXyArLEpjzTp7GJgK_MZY1hJ4yZq161-lxy6qJoQ,KiNG Nidhogg,425,543,517,True,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,-MDSv9bcL3MEM_QmHDdhl_HQ_Kf6nulUqh9IrTFDNrjujEM,Stretfa,425,264,236,True,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,v-JQrcAO39s8mWGyd-qOrznXljnHMyFPhSljTXTv9dR7GvE,Good Boi,424,495,466,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,ebKxzerwERIbleUxv_4IyWK29UDtn3gup_TMazcAD-LoEd0,youngˉ,424,340,325,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,wN-ijsdZgbDBow6foUq2hovsHSso8oZHlZOKLaUElxD0SlY,Release v2ˉ,424,314,291,False,False,False,True
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,MRrL443dB5K8uc0VqXGqZcZhdoEj8kRS6osAZn3AdvzPUV35,DarkMagenta869,424,178,94,False,False,False,True
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,6h3pRvLJJ33sPUi6FZb5fHjxgmpNjFqen9OJs9MwX4FE8Vo,lilkarth,423,363,336,False,False,False,True
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,cuIJA2cSCxN2Z3i0Y1phVnjvipLS_X8cVBbunB2I-AtCXh8o,hwaryun,423,336,293,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,g1DWaa0IqKYkh1MkZNzweYa83MzbSuIl48IwrTRNAbhKu1o,KatEvolved,421,305,281,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,kf92dQZJrhcKaOXoveV3U4cj2dc2_M6bhChf6krG9ZVugGJb,RedLich,420,247,172,True,False,False,True
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,_5jyEYs_M9IzKYd2mpTt_cZYfab4efhaeQI-xiMCnA6r5jtL,shrinkemz kitten,420,221,145,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,-G2moUScOQWk-bjzw9DVS0_30vGwN69ew5FL4p--c7f957w,Gio Monster,419,779,769,True,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,EfxYWdLVa-S-20zxbTCz2cVRDmQImaq5ErMyJtGXYy7iWiE,Zequilla,418,442,399,False,False,False,True
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,UGw-Vsleofy0hC2J2kqFXqxsIMvoBVVkvJ9N0tCkREhqv98,sico,418,192,169,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,0SPGUETHuNXO7HabLqeuo4nAx784fn4puDEyZsYu17WjbVY,Pseudo,418,186,152,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,1EOEArRTdw_VXbcNeMDfcV4TLvcDTe9b7Ik5kWJvRdaWC6M,Ran Out of Wit,416,543,511,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,Jurk3sLQb1xTkj_Hw299REibl6NX_5AiDQ1C6cFW9Re8HdV7,byeoljali,414,321,305,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,lJfBLvyVokoPL7wJ1wpF8lBmYPlxkzukc9EHOQeYlxyBhWqy,afterglow2,413,289,244,True,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,qWMbaIY348z9l54e19oI13K-jwTHp45NYG6epM2W-czUNy2H,C9 HOT RUFFLES ,412,252,197,True,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,fD9PtDrLYlMunTJoyCdSvcgNnbEbl7dAzEOTDBmOWvPe2tHY,stormzyzx,412,235,144,True,False,False,False
