,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
0,eaabe7f4-b5d3-4260-854c-c8e2425462cd,RANKED_SOLO_5x5,IRON,III,aypSJfX_-2IdKF_NSpakXj2EIWANSpb7ojsXt_scv8CfxDj-,chill karen,50,3,8,False,False,False,False,
1,b8310a22-5264-4c2c-bedf-08707f3dc7cb,RANKED_SOLO_5x5,IRON,III,sl0TXVazF8XrRpOuJaeB2vtLEh4m4Z4DaqVIaWltQWDpDUUC,WereG0053,29,3,16,False,False,False,False,
2,052c6c35-8ef6-452e-9777-3dc240495f93,RANKED_SOLO_5x5,IRON,III,nxm1L4mA0xsEFA5C2i_f0ekFKp_z0-DdfHodu9ne5erzh3Xp,sslouka,19,38,69,False,False,False,False,
3,5fe76437-1ae5-4a45-aebd-66ad4d18ca9b,RANKED_SOLO_5x5,IRON,III,bIJ-7P5WS6oK_t-3bvR5d_jWNwcCTUkwHqzARtmGtXfclxHj,primagexx,35,11,15,False,False,False,False,
4,035de41e-6705-4035-99f5-f975d1bbd6b1,RANKED_SOLO_5x5,IRON,III,zurwPOEk4kCc2Uh3K5ZgmkY8znOe16JUhPIF-NWWiQfLslvm,Bobtheninjamoose,0,13,31,False,False,False,False,
5,ead9bf96-722f-4d3c-b4c8-cd909e3d95f6,RANKED_SOLO_5x5,IRON,III,0MT2FWfcIuKq-OJaI_pmey90xH2sNTmsFb6fOBMZj0wy1YAs,Ra7che7,88,3,10,False,False,False,False,
6,5b9a7a45-ded8-4b5c-8479-51d5241bbc4d,RANKED_SOLO_5x5,IRON,III,4A73EiH5zkfiod3_Ym0PfQUzEibwd2TjQ-3mYYtiewVTezZf,TheNutGoblin,72,9,16,False,False,False,False,
7,c84c7157-656c-4156-ac29-6f0ac6b509f2,RANKED_SOLO_5x5,IRON,III,O4pux6WC5YA6SyGuJKieb9SicmCL7GR9YX8eHJ9x-LLH8pFM,Veeeenah,26,5,22,False,False,False,False,
8,8546512d-85a0-412a-ad48-25515fd32a48,RANKED_SOLO_5x5,IRON,III,4Y0X9r-qJy-iXVZU_ej1cp3h-pjcy600VEWAnHyQv1ecnkZ7,DarkSmileyBoi,24,15,27,False,False,False,False,
9,654a3c7d-613b-4e4b-831c-258cfb43633d,RANKED_SOLO_5x5,IRON,III,hlf7-o6IIg9rm9YPTrBq7iX0Ju35Qxnkul7CcXX7ox2zs5rB,futureslugger8,4,9,16,False,False,False,False,
10,dcff85a7-c126-4230-af65-bb9c02ab1d94,RANKED_SOLO_5x5,IRON,III,fGdJGFGsHqwLvbfHXrArv7CxOyhNmrwnv1VN84Hf1lHZxp0O,Deadeye1325,35,16,34,False,False,False,False,
11,aace7e6c-cc1f-46dc-bd49-48921ccf3ee0,RANKED_SOLO_5x5,IRON,III,icI33WFGooVas7bEkjjwBTpejyngx1qGUOx9qYpiUtEtLVq3,lolerisFH,100,21,23,False,False,False,False,"{'target': 2, 'wins': 1, 'losses': 1, 'progress': 'WLN'}"
12,9bb66f5c-8b61-4400-8c5b-159863fd7068,RANKED_SOLO_5x5,IRON,III,xgTOqHaqUsoPT6mHxhno6jRFERu0qaUDeEjaEgNzDUTC2ySg,winksy343,0,24,26,False,False,False,True,
13,053b622e-33b1-4085-b620-3165df7c376d,RANKED_SOLO_5x5,IRON,III,bnJUOEDpnTKt-lvybYY8EBp24m-AG2jijrfAzCkWQiqTs4Df,Aboveness,57,14,17,False,False,False,False,
14,16e0c34d-5b72-4ffd-a759-9eac4273022b,RANKED_SOLO_5x5,IRON,III,X52kvkSQ8ELrP-evmbPjiS4o38f8P_wgGWO_HHIpsJbEy4XS,Spex33,0,10,13,False,False,False,True,
15,cac0a395-579b-45fb-8355-da2ccb9970b4,RANKED_SOLO_5x5,IRON,III,t9vN65CyBv9t5UxFfcpnSG-qKx1Tsfxde3s7fJ6FiUKlpFY_,fazeguvna,11,32,53,False,False,False,False,
16,ba0f9272-c8e7-4f9d-ad75-8bb2fcf3ec48,RANKED_SOLO_5x5,IRON,III,YS5WiLNoL9Edc3OMPO3GCO1lw863N1WPwpHLzHp77pQQcoSm,kyederp,38,115,128,False,False,False,False,
17,bfe0ffb3-b1b2-4d33-9ba6-8ea8b59e05be,RANKED_SOLO_5x5,IRON,III,xxIyT0me7fiMiCSMOgw5DW3aIJL_eRuWe0ym5BHHjWCaaHOI,LoneStar Stud,60,3,7,False,False,False,False,
18,2cdab337-59b2-4439-a61d-749638997076,RANKED_SOLO_5x5,IRON,III,HzkHeUFYi79AiU2R81CHeuxh5NxI4009KLcMVYTaqHnZlL-_,ChaoticLucifer,51,4,10,False,False,False,False,
19,0606e250-2f08-4ef2-a905-919e9fa44590,RANKED_SOLO_5x5,IRON,III,BcJHWIZ-pZEdB0niWx_5GxJIZhorjhDyJh8KjKXyp5jQ_i_O,DangThatsAName,53,1,10,False,False,False,False,
