leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
9d76d7f8-0430-4772-968d-d141c4c0edbd,RANKED_SOLO_5x5,IRON,IV,UfZeJs7DfclZYM0dZRnSyc_71mPxUhoPqtygrwU6wad0gljM,TheEichelTower88,61,12,48,False,False,False,False,
990fdc04-0d8a-466b-b846-701eb52df932,RANKED_SOLO_5x5,IRON,IV,1xrskn5KjL24A0r_kGGnjb79mh8fZiJpWEDy2hncZBH5qcxJ,ZGoz1,60,6,13,False,False,False,False,
9d21e31b-bb97-4f86-9b5f-508a91776070,RANKED_SOLO_5x5,IRON,IV,EtntwiFMPAFZ3zkSbWJKn-aG9k3yrHSklVlKjAgwaGmG_DIK,xXR1C0SUAVEXx,2,34,53,False,False,False,False,
001375d3-0651-41ee-8dd5-534c7af1b492,RANKED_SOLO_5x5,IRON,IV,v-EWsuvS6iyHonNxJW6IsJUR8Gqm2BxaTE_Yy8fkBpgohVXn,kingpercius,0,25,44,False,False,False,False,
65f870c0-9548-45d9-94bb-f4f44b752ad4,RANKED_SOLO_5x5,IRON,IV,t4aRwGM3omWxBjKI8UtjF10UtVRFZ2ymz2iTrSpXXdKBgUfJ,Posedions Carry,0,29,59,False,False,False,False,
ab70dd38-d9a9-400c-9d9b-c6cf7a3899ee,RANKED_SOLO_5x5,IRON,IV,yx9HyI1sojpZh7-7cIObiuRgh9-oZFgLDjEgHIDuxnuN5c13,MistaStealYoRole,66,128,228,True,False,False,False,
3db3f141-a6c8-47d6-a588-76283c152749,RANKED_SOLO_5x5,IRON,IV,sjPcg38gUflJh4to5C2PhSsrmUNPGnOJCUOjfQBkCuzg1H7U,Sunwukong559,65,25,46,False,False,False,False,
001375d3-0651-41ee-8dd5-534c7af1b492,RANKED_SOLO_5x5,IRON,IV,mKqZsQXIQ0f05ArrTEO2WrCMFCk861ccFOS_JeyeprTA6e1I, KaBBa SL,80,12,20,False,False,False,False,
5b6e63f7-9b78-4179-b655-91b8c1a0b395,RANKED_SOLO_5x5,IRON,IV,7lE8RkORhivqTMBmoNmqGhBEWboIEwumGrVm_WQGaCTvAAmV,we already lost,0,4,50,False,False,False,False,
e5b33072-98bd-427a-9e64-5aa5b09ed215,RANKED_SOLO_5x5,IRON,IV,57iEMvNhCT-skUFMa960Rn6SVhVYdM3TECgd-5NLZ2zwFtcI,majesticasszebra,25,133,190,False,False,False,False,
46c6d79b-461b-42d0-96e6-acde549e17bd,RANKED_SOLO_5x5,IRON,IV,4BwKHCtBj2wtoOb8Lu-aKZobVbRlA2uYhPiG9bGVHMpiRQgg,BookmanRojasThe,75,74,110,True,False,False,False,
be51d26d-e40b-4321-aa1c-3626eba0fa84,RANKED_SOLO_5x5,IRON,IV,geM-55koERqh-K-mZOxZlPHNA8Qd-ykQD4si_Qigp7c67iHu,ASLIN UDHAYA,33,109,151,False,False,False,False,
0c0b56c1-8b3d-40a7-981a-2fee9a6a82f2,RANKED_SOLO_5x5,IRON,IV,I0NZnK9Iy3onI6-jbixA9QIQJrNK6SFYdbBPiaQ9m9Z2v8S8,MasonLTE,45,2,11,False,False,False,False,
636974bb-f8f9-43b2-be0e-e6092d5c45e3,RANKED_SOLO_5x5,IRON,IV,wQPg_eQocvUhyZgtzFuWWHm7_Xr46En4K_hutwA07jOFMfLP,hungkhanhle,62,27,21,False,False,False,False,
226f606b-59c2-4ab1-845e-c96b3c7c86c8,RANKED_SOLO_5x5,IRON,IV,Lrsfjsc2iQItP11rIbOJItYeofLIIMgEUC5xtOnoMNfuQJp1,Kenchuuuu,100,5,15,False,False,False,False,"{'target': 2, 'wins': 0, 'losses': 0, 'progress': 'NNN'}"
ff01cd19-b195-4fca-af64-6f09d277389a,RANKED_SOLO_5x5,IRON,IV,XibYZlPWCvK7vkKwkGiXGMAFDTMh0CBk898ScnoPOBmjsm3v,headlezz2,94,47,45,False,False,False,True,
c85c4b05-8379-411d-878f-ce5dd44a98cb,RANKED_SOLO_5x5,IRON,IV,yf13wx8YgwmxOr89KYekOYYS2SWxcTgdyzW_fJ_RglkeRjAn,Frozenthumb,0,24,46,False,False,False,False,
10e886df-2ac5-4e5a-bf2a-6a8d9ccc9d8b,RANKED_SOLO_5x5,IRON,IV,GolbRkqYBg63z729oqB-FhNSsjQBDuzKv4cc_UhjV4hQem5O,Millkill95,58,36,36,False,False,False,False,
5b9a7a45-ded8-4b5c-8479-51d5241bbc4d,RANKED_SOLO_5x5,IRON,IV,xT91sYHy4-bKzWF96Kz29UCf6MWPHwuA6Ld60CYgZzQKT7oX,TardStartler,12,28,50,False,False,False,False,
cf44027b-a44e-44c5-8d59-fccf75ebae99,RANKED_SOLO_5x5,IRON,IV,aIUxqwurP6lTHeKv6ox4zWDYDYcNd2sR_xQss9gwnXxkjqMJ,Twicciiee,54,1,9,False,False,False,False,
0d086d34-398f-49de-81ae-3d02ed33bfde,RANKED_SOLO_5x5,IRON,IV,lC0S_2neL7pCQOuH9Cou_yvivF95uhJ3KUKsilDgpckz3UjP,JSHAN37,28,98,129,False,False,False,False,
da08b048-f85d-4715-aff2-7819c4488e00,RANKED_SOLO_5x5,IRON,IV,MTwzebrOgBb_KqcVPJDriUChyN92KL_0AONaTcNJ1WRH0als,WolfsbaneMoon,39,45,73,False,False,False,False,
c5aec8c5-fd0b-438a-885c-b97d04c95987,RANKED_SOLO_5x5,IRON,IV,gABSPL8wbL85oZiqIgzvy6rv11apo5B6WsY1kBk7w6N-Y8vs,itachi4hokage 1,0,44,113,False,False,False,False,
